scenario,rauschform,rauschstufe_prozent,vorverarbeitung,wiederholung,wiederholungs_seed,intercluster_margin_threshold,intercluster_removed_points,intercluster_removed_base_points,intercluster_removed_artificial_points,aktuelle_anzahl_beobachtungen_nach_vorverarbeitung
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,7,107,0.7371627120369154,282,19,263,1018
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,8,108,0.7371627120369154,283,21,262,1017
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,9,109,0.7371627120369154,296,21,275,1004
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,10,110,0.7371627120369154,298,23,275,1002
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,11,111,0.7371627120369154,288,21,267,1012
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,12,112,0.7371627120369154,285,22,263,1015
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,13,113,0.7371627120369154,292,20,272,1008
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,14,114,0.7371627120369154,289,19,270,1011
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,15,115,0.7371627120369154,287,22,265,1013
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,16,116,0.7371627120369154,289,22,267,1011
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,17,117,0.7371627120369154,282,21,261,1018
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,18,118,0.7371627120369154,296,21,275,1004
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,19,119,0.7371627120369154,289,21,268,1011
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,20,120,0.7371627120369154,287,20,267,1013
